Rank	Name	Computer	Site	Manufacturer	Country	Total Cores	Rmax [TFlop/s]	Rpeak [TFlop/s]	Nmax	Processor	Operating System	OS Family	Accelerator/Co-Processor	Cores per Socket	Processor Generation	Continent
81	Artemis	NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100	Group 42	Nvidia	United Arab Emirates	107,568	7,257.00	9,492.16	2,304,000	Xeon Platinum 8168 24C 2.7GHz	Ubuntu	Linux	NVIDIA Tesla V100	24	Xeon Platinum	Asia
82		Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect 	United Kingdom Meteorological Office	HPE	United Kingdom	241,920	7,038.93	8,128.51	6,705,408	Xeon E5-2695v4 18C 2.1GHz	Cray Linux Environment 	Linux	None	18	Intel Xeon E5 (Broadwell)	Europe
83	JOLIOT-CURIE ROME	Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100	CEA/TGCC-GENCI	Atos	France	197,120	6,988.04	12,039.37	6,792,576	AMD Rome 7H12 64C 2.6GHz	bullx SCS	Linux	None	64	AMD Rome	Europe
84	Theta	Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect 	DOE/SC/Argonne National Laboratory	HPE	United States	280,320	6,920.90	11,661.31	7,680,000	Intel Xeon Phi 7230 64C 1.3GHz	Cray Linux Environment 	Linux	None	64	Intel Xeon Phi	North America
85	Karolina, GPU partition	Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200	IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava	HPE	Czechia	71,424	6,752.00	9,080.18	1,710,720	AMD EPYC 7763 64C 2.45GHz	CentOS	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Milan	Europe
86	Christofari	NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100	SberCloud	Nvidia	Russia	99,600	6,669.00	8,789.76	2,208,000	Xeon Platinum 8168 24C 2.7GHz	Ubuntu 18.04.01	Linux	NVIDIA Tesla V100	24	Xeon Platinum	Europe
87	Flow	PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D	Information Technology Center, Nagoya University	Fujitsu	Japan	110,592	6,617.80	7,785.68	2,621,440	A64FX 48C 2.2GHz	Red Hat Enterprise Linux	Linux	None	48	Fujitsu A64FX	Asia
88	MareNostrum	Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path	Barcelona Supercomputing Center	Lenovo	Spain	153,216	6,470.80	10,296.12	5,990,400	Xeon Platinum 8160  24C 2.1GHz	SUSE Linux	Linux	None	24	Xeon Platinum	Europe
89		SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, InfiniBand HDR 100	Deutscher Wetterdienst	NEC	Germany	28,160	6,434.00	8,408.45	4,307,460	Vector Engine Type10AE 8C 1.58GHz	VEOS	Linux	None	8	Vector Engine	Europe
90	ONYX	Cray XC40, Xeon E5-2699v4  22C 2.2GHz, Aries interconnect 	ERDC DSRC	HPE	United States	211,816	6,316.03	7,455.92	7,001,472	Xeon E5-2699v4  22C 2.2GHz	Cray Linux Environment 	Linux	None	22	Intel Xeon E5 (Broadwell)	North America
91	LUMI-C	HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10	EuroHPC/CSC	HPE	Finland	194,560	6,299.79	7,626.75	6,201,599	AMD EPYC 7763 64C 2.45GHz	HPE Cray OS	Linux	None	64	AMD Milan	Europe
92	Titan	Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband	SKT	HPE	South Korea	56,544	6,291.00	7,188.48	2,200,000	AMD EPYC 7763 64C 2.45GHz	RHEL 8.5	Linux	NVIDIA A100 SXM4 80 GB	64	AMD Milan	Asia
93	JUWELS Module 1	Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite	Forschungszentrum Juelich (FZJ)	Atos	Germany	114,480	6,177.73	9,891.07	4,996,992	Xeon Platinum 8168 24C 2.7GHz	CentOS	Linux	None	24	Xeon Platinum	Europe
94		HPE SGI 8600, Xeon Gold 6248R 24C 3GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR	Japan Atomic Energy Agency(JAEA)/ National Institutes for Quantum and Radiological Science and Technology(QST)	HPE	Japan	100,096	6,162.00	8,439.62	2,128,128	Xeon Gold 6248R 24C 3GHz	RHEL 7.7	Linux	NVIDIA Tesla V100 SXM2	24	Xeon Gold 62xx (Cascade Lake)	Asia
95	SQUID - CPU Nodes	NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200	Osaka University	NEC	Japan	115,520	6,105.10	8,871.94	6,558,880	Xeon Platinum 8368 38C 2.4GHz	CentOS	Linux	None	38	Xeon® Platinum 83xx (Ice Lake)	Asia
96	Lise	Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path	HLRN at ZIB/Konrad Zuse-Zentrum Berlin	Atos	Germany	121,920	6,048.26	8,930.92	6,935,040	Intel Xeon Platinum 9242 48C 2.3GHz	CentOS	Linux	None	48	Xeon Platinum 92xx (Cascade Lake)	Europe
97	Pleiades	SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR	NASA/Ames Research Center/NAS	HPE	United States	241,108	5,951.55	7,107.15	6,500,160	Intel Xeon E5-2680v2  10C 2.8GHz	SUSE Linux Enterprise Server 11	Linux	None	10	Intel Xeon E5 (IvyBridge)	North America
98	Emmy+	BullSequana X, Intel Xeon Platinum 9242/Gold 6148, Intel Omni-Path	HLRN+ at GWDG/University of Göttingen	Atos	Germany	120,296	5,948.80	8,911.26	7,253,376	Intel Xeon Platinum 9242 48C 2.3GHz	Linux	Linux	None	48	Xeon Platinum 92xx (Cascade Lake)	Europe
99	Narval (GPU)	PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100, InfiniBand HDR100	Calcul Québec/Compute Canada	DELL EMC	Canada	76,320	5,886.00	12,165.35	1,769,472	AMD EPYC 7413 24C 2.65GHz	Rocky Linux 8.4	Linux	NVIDIA A100	24	AMD Milan	North America
100	Sawtooth	HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR 	Idaho National Laboratory	HPE	United States	99,792	5,780.62	9,220.61	6,532,608	Xeon Platinum 8268 24C 2.9GHz	RHEL 7.6	Linux	None	24	Xeon Platinum 82xx (Cascade Lake)	North America
101		Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect 	Japan Meteorological Agency	Cray Inc./Hitachi	Japan	135,792	5,730.50	9,125.22	5,667,840	Xeon Platinum 8160  24C 2.1GHz	Cray Linux Environment 	Linux	None	24	Xeon Platinum	Asia
102		Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect 	Japan Meteorological Agency	Cray Inc./Hitachi	Japan	135,792	5,730.50	9,125.22	5,667,840	Xeon Platinum 8160  24C 2.1GHz	Cray Linux Environment 	Linux	None	24	Xeon Platinum	Asia
103	COBRA	Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path	Max-Planck-Gesellschaft MPI/IPP	Intel	Germany	127,520	5,612.83	9,793.54	5,213,184	Xeon Gold 6148 20C 2.4GHz	SUSE Linux Enterprise Server 12 SP1	Linux	None	20	Xeon Gold	Europe
104	Shaheen II	Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect 	King Abdullah University of Science and Technology	HPE	Saudi Arabia	196,608	5,536.99	7,235.17	9,738,048	Xeon E5-2698v3 16C 2.3GHz	Cray Linux Environment 	Linux	None	16	Intel Xeon E5 (Haswell)	Asia
105	Electra	HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB	NASA/Ames Research Center/NAS	HPE	United States	124,416	5,444.64	8,316.52	6,931,200	Xeon Gold 6148 20C 2.4GHz	SLES12 SP2	Linux	None	20	Xeon Gold	North America
106	Raven	ThinkSystem SD650 V2, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR 100	Max-Planck-Gesellschaft MPI/IPP	Lenovo	Germany	114,624	5,415.98	8,803.12	4,128,768	Xeon Platinum 8360Y 36C 2.4GHz	SUSE Linux Enterprise Server 15 SP2	Linux	None	36	Xeon® Platinum 83xx (Ice Lake)	Europe
107	rzVernal	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	DOE/NNSA/LLNL	HPE	United States	35,872	5,401.00	6,917.82	1,575,936	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Milan	North America
108	MAHTI	Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100	CSC (Center for Scientific Computing)	Atos	Finland	169,728	5,388.52	7,060.68	6,362,304	AMD Rome 7H12 64C 2.6GHz	bullx SCS	Linux	None	64	AMD Rome	Europe
109	Pangea	SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR	Total Exploration Production	HPE	France	220,800	5,283.11	6,712.32	4,919,040	Xeon E5-2680v3 12C 2.5GHz	SUSE Linux Enterprise Server 11	Linux	None	12	Intel Xeon E5 (Haswell)	Europe
110	Berzelius	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR	National Supercomputer Centre (NSC)	Atos	Sweden	59,520	5,253.00	9,636.48	1,536,000	AMD EPYC 7742 64C 2.25GHz	Red Hat Enterprise Linux	Linux	NVIDIA A100	64	AMD Rome	Europe
111	DiRAC, Tursa	BullSequana XH2000, AMD EPYC 7302 32C 3GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband	University of Edinburgh	Atos	United Kingdom	55,552	5,228.00	8,580.00	1,457,280	AMD EPYC 7302 32C 3GHz	Linux	Linux	NVIDIA A100 40GB	32	AMD Rome	Europe
112	TX-GAIA (Green AI Accelerator)	Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path	MIT Lincoln Laboratory Supercomputing Center	HPE	United States	88,400	5,161.00	6,981.48	4,455,360	Xeon Gold 6248 20C 2.5GHz	CentOS Linux 7	Linux	NVIDIA Tesla V100	20	Xeon Gold 62xx (Cascade Lake)	North America
113	Athena	FormatServer THOR ERG21, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR	Cyfronet	Format	Poland	47,616	5,051.00	7,709.18	1,391,616	AMD EPYC 7742 64C 2.25GHz	CentOS	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Rome	Europe
114		SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, InfiniBand HDR 100	Deutscher Wetterdienst	NEC	Germany	21,696	5,050.10	6,539.90	3,798,732	Vector Engine Type10AE 8C 1.58GHz	VEOS	Linux	None	8	Vector Engine	Europe
115	BioHive-1	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband	Recursion	Nvidia	United States	39,680	4,902.00	5,709.44	1,811,520	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.1 LTS	Linux	NVIDIA A100	64	AMD Rome	North America
116	Flow Type II subsystem	PRIMERGY CX2570 M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR	Information Technology Center, Nagoya University	Fujitsu	Japan	79,560	4,880.46	7,519.30	1,880,064	Xeon Gold 6230 20C 2.1GHz	Linux	Linux	NVIDIA Tesla V100 SXM2	20	Xeon Gold 62xx (Cascade Lake)	Asia
117	Eagle	HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube	National Renewable Energy Laboratory	HPE	United States	75,600	4,850.66	7,257.60	4,652,160	Xeon Gold 6154 18C 3GHz	CentOS	Linux	None	18	Xeon Gold	North America
118	Cheyenne	SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR	National Center for Atmospheric Research (NCAR)	HPE	United States	144,900	4,788.19	5,332.32	5,171,520	Xeon E5-2697v4 18C 2.3GHz	SUSE Linux Enterprise Server 12 SP1	Linux	None	18	Intel Xeon E5 (Broadwell)	North America
119	Betzy	Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband	UNINETT Sigma2 AS	Atos	Norway	172,032	4,724.79	6,193.15	5,054,016	AMD EPYC 7742 64C 2.25GHz	RHEL 7.7	Linux	None	64	AMD Rome	Europe
120	PARAM Siddhi-AI	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband	Center for Development of Advanced Computing (C-DAC)	Atos	India	41,664	4,619.00	5,267.14	1,317,888	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.1 LTS	Linux	NVIDIA A100	64	AMD Rome	Asia
121	Tioga	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	DOE/NNSA/LLNL	HPE	United States	30,208	4,548.21	5,825.54		AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Milan	North America
122	ITO - Subsystem A	Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR	Research Institute for Information Technology, Kyushu University	Fujitsu	Japan	72,000	4,540.69	6,912.00	5,753,080	Xeon Gold 6154 18C 3GHz	Redhat Enterprise Linux 7	Linux	None	18	Xeon Gold	Asia
123	Discoverer	BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Infiniband HDR	Consortium Petascale Supercomputer Bulgaria	Atos	Bulgaria	144,384	4,518.87	5,942.00	5,824,896	AMD EPYC 7H12 64C 2.6GHz	Linux	Linux	None	64	AMD Rome	Europe
124	Jean Zay	HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path	CNRS/IDRIS-GENCI	HPE	France	93,960	4,478.00	7,345.56	1,999,871	Xeon Gold 6248 20C 2.5GHz	RHEL 6.8	Linux	NVIDIA Tesla V100 SXM2	20	Xeon Gold 62xx (Cascade Lake)	Europe
125	Wisteria/BDEC-01 (Aquarius)	PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR	Information Technology Center, The University of Tokyo	Fujitsu	Japan	42,120	4,425.00	7,268.83	1,347,016	Xeon Platinum 8360Y 36C 2.4GHz	Linux	Linux	NVIDIA A100 SXM4 40 GB	36	Xeon® Platinum 83xx (Ice Lake)	Asia
126	Atlas	Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR	Petróleo Brasileiro S.A	Atos	Brazil	91,936	4,376.00	8,848.49	2,081,280	Xeon Gold 6240 18C 2.6GHz	CentOS	Linux	NVIDIA Tesla V100	18	Xeon Gold 62xx (Cascade Lake)	South America
127	Advanced Computing System(PreE)	Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus	Sugon	Sugon	China	163,840	4,325.00	6,134.17	1,876,000	Hygon Dhyana 32C 2GHz	CentOS	Linux	Deep Computing Processor	32	Hygon Dhyana	Asia
128	CRONOS	BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR	EDF	Atos	France	81,600	4,299.33	7,136.87	6,317,568	Xeon Platinum 8260 24C 2.4GHz	Linux	Linux	None	24	Xeon Platinum 82xx (Cascade Lake)	Europe
129	Oakbridge-CX	Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path	Information Technology Center, The University of Tokyo	Fujitsu	Japan	76,608	4,289.85	6,618.93	5,124,856	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	Asia
130	SNL/NNSA CTS-1 Manzano	Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path	Sandia National Laboratories	Penguin Computing	United States	71,424	4,281.00	6,628.15	5,491,968	Xeon Platinum 8268 24C 2.9GHz	Linux/TOSS	Linux	None	24	Xeon Platinum 82xx (Cascade Lake)	North America
131	Noctua 2	BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100	Universitaet Paderborn - PC2	Atos	Germany	135,168	4,190.90	5,298.59	5,241,600	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Milan	Europe
132		Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2	Research Institute	HPE	Japan	70,416	4,128.00	5,783.81	1,843,200	Xeon Gold 6140 18C 2.3GHz	CentOS	Linux	NVIDIA Tesla V100 SXM2	18	Xeon Gold	Asia
133	JOLIOT-CURIE SKL	Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR	CEA/TGCC-GENCI	Atos	France	79,488	4,065.55	6,635.52	5,861,568	Xeon Platinum 8168 24C 2.7GHz	bullx SCS	Linux	None	24	Xeon Platinum	Europe
134	Abel	Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect 	Petroleum Geo-Services	HPE	United States	145,920	4,042.46	5,369.86	8,338,176	Xeon E5-2698v3 16C 2.3GHz	Cray Linux Environment 	Linux	None	16	Intel Xeon E5 (Haswell)	North America
135	Warhawk	HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10	Air Force Research Laboratory	HPE	United States	129,920	4,033.50	5,404.67	7,470,320	AMD EPYC 7H12 64C 2.6GHz	SLES15 SP2	Linux	None	64	AMD Rome	North America
136	DGX Saturn V	NVIDIA DGX-1 Volta36, Xeon E5-2698v4 20C 2.2GHz, NVIDIA Tesla V100, Infiniband EDR	NVIDIA Corporation	Nvidia	United States	87,040	3,998.00	7,414.78	1,925,376	Xeon E5-2698v4 20C 2.2GHz	Ubuntu	Linux	NVIDIA Tesla V100	20	Intel Xeon E5 (Broadwell)	North America
137		Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect 	ECMWF	HPE	United Kingdom	126,468	3,944.68	4,249.33	7,171,008	Xeon E5-2695v4 18C 2.1GHz	Cray Linux Environment 	Linux	None	18	Intel Xeon E5 (Broadwell)	Europe
138		Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect 	ECMWF	HPE	United Kingdom	126,468	3,944.68	4,249.33	7,171,008	Xeon E5-2695v4 18C 2.1GHz	Cray Linux Environment 	Linux	None	18	Intel Xeon E5 (Broadwell)	Europe
139		SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, InfiniBand HDR 100	Deutscher Wetterdienst	NEC	Germany	18,688	3,870.10	5,605.63	3,516,816	Vector Engine Type10AE 8C 1.58GHz	VEOS	Linux	None	8	Vector Engine	Europe
140	VEGA HPC CPU	BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Mellanox InfiniBand HDR100	IZUM	Atos	Slovenia	122,880	3,822.00	5,367.00	5,140,224	AMD EPYC 7H12 64C 2.6GHz	Linux	Linux	None	64	AMD Rome	Europe
141	Delta	Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, Slingshot-10	NCSA	HPE	United States	49,600	3,812.00	8,050.88	1,448,064	AMD EPYC 7763 64C 2.45GHz	RHEL 8.4	Linux	NVIDIA A100	64	AMD Milan	North America
142	hotlum	HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-11	Hewlett Packard Enterprise	HPE	France	116,736	3,807.96	4,576.05	6,856,320	AMD EPYC 7763 64C 2.45GHz	HPE Cray OS	Linux	None	64	AMD Milan	Europe
143	Pratyush	Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect 	Indian Institute of Tropical Meteorology	HPE	India	119,232	3,763.94	4,006.20	5,935,104	Xeon E5-2695v4 18C 2.1GHz	Cray Linux Environment 	Linux	None	18	Intel Xeon E5 (Broadwell)	Asia
144		Apollo 6500 XL270d Gen10, Xeon Gold 6150/6152 18C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2	SAKURA Internet Inc. / Prunus Solutions Inc.	HPE	Japan	65,208	3,712.00	5,365.09	1,769,472	Xeon Gold 6150 18C 2.7GHz	CentOS	Linux	NVIDIA Tesla V100 SXM2	18	Xeon Gold	Asia
145	LLNL Ruby	Supermicro SYS-2029TP-HTR, Xeon Platnium 8276L 28C 2.2GHz, Cornelis Networks Omni-Path	Lawrence Livermore National Laboratory	Supermicro	United States	85,568	3,700.15	6,023.99	5,754,624	Xeon Platinum 8276L 28C 2.2GHz	Linux/TOSS	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	North America
146	Orion	PowerEdge C6420, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR	Mississippi State University	DELL EMC	United States	70,560	3,665.72	5,419.01	4,298,880	Xeon Gold 6148 20C 2.4GHz	Linux	Linux	None	20	Xeon Gold	North America
147	IARA	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband	SiDi	Nvidia	Brazil	24,800	3,657.00	4,130.40	1,392,158	AMD EPYC 7742 64C 2.25GHz	Ubuntu	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Rome	South America
148		ThinkSystem SD650 V2, Xeon Platinum 8358 32C 2.6GHz, Mellanox HDR Infiniband	Shanghai Jiao Tong University	Lenovo	China	59,392	3,656.78	4,941.41	5,529,600	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon® Platinum 83xx (Ice Lake)	Asia
149	Joule 2.0	HP ProLiant XL170r/XL190r/DL360 Gen10, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100	DOE/National Energy Technology Laboratory	HPE	United States	86,400	3,608.62	5,750.78	4,049,664	Xeon Gold 6148 20C 2.4GHz	Linux	Linux	NVIDIA Tesla P100	20	Xeon Gold	North America
150	Niagara	ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100	SciNet/University of Toronto/Compute Canada	Lenovo	Canada	80,640	3,599.66	6,253.06	3,276,672	Xeon Gold 6148 20C 2.4GHz	CentOS	Linux	None	20	Xeon Gold	North America
151	Fritz	Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100	Universitaet Erlangen - Regionales Rechenzentrum Erlangen	MEGWARE	Germany	71,424	3,578.03	5,452.18	4,543,488	Xeon Platinum 8360Y 36C 2.4GHz	AlmaLinux 8.5	Linux	None	36	Xeon® Platinum 83xx (Ice Lake)	Europe
152		Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40	Government	HPE	United States	72,800	3,577.00	6,131.84	2,336,000	Xeon E5-2660v2 10C 2.2GHz	Linux	Linux	NVIDIA Tesla K40	10	Intel Xeon E5 (IvyBridge)	North America
153		Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40	Government	HPE	United States	72,800	3,577.00	6,131.84	2,336,000	Xeon E5-2660v2 10C 2.2GHz	Linux	Linux	NVIDIA Tesla K40	10	Intel Xeon E5 (IvyBridge)	North America
154	Anvil	PowerEdge 6525, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR 100	Purdue University	DELL EMC	United States	127,488	3,563.10	4,997.53	5,492,025	AMD EPYC 7763 64C 2.45GHz	Rocky Linux 8.4	Linux	None	64	AMD Milan	North America
155	NOBZ1	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom	Software Company MBZ	Lenovo	Brazil	80,640	3,545.65	6,967.30	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	South America
156	AIC1	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom	Software Company MIR	Lenovo	Ireland	80,640	3,545.65	6,967.30	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	Europe
157	B1A	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	80,640	3,545.65	6,967.30	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	North America
158	Altair	CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR	PCSS Poznan	Huawei	Poland	63,360	3,533.61	5,879.81	5,216,256	Xeon Platinum 8268 24C 2.9GHz	CentOS	Linux	None	24	Xeon Platinum 82xx (Cascade Lake)	Europe
159	ATOS THX.A.B	BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 64 GB, Quad-rail NVIDIA HDR100 Infiniband	Atos	Atos	France	25,056	3,505.00	4,982.17	1,370,880	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	NVIDIA A100 SXM4 64 GB	32	Xeon® Platinum 83xx (Ice Lake)	Europe
160	Unizah-II	Cray CS500, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet	Saudi Aramco	HPE	Saudi Arabia	85,560	3,487.91	6,844.80	9,471,744	Xeon Gold 6248 20C 2.5GHz	RHEL 7.7	Linux	None	20	Xeon Gold 62xx (Cascade Lake)	Asia
161	Ohtaka	PowerEdge C6525, AMD EPYC 7702 64C 2GHz, Mellanox HDR Infiniband	The Institute for Solid State Physics, The University of Tokyo	DELL EMC	Japan	215,040	3,486.10	6,881.28	5,811,840	AMD EPYC 7702 64C 2GHz	Red Hat Enterprise Linux	Linux	None	64	AMD Rome	Asia
162	BA1A	ThinkSystem HR650X, Intel Xeon Gold 8350C 32C 2.6GHz, 25G Ethernet	Service Provider B	Lenovo	China	81,920	3,476.28	6,815.74	5,724,288	Intel Xeon Gold 8350C 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 82xx (Cascade Lake)	Asia
163	CARO	NEC HPC2808Ri-2, AMD EPYC 7702 64C 2GHz, InfiniBand HDR100	German Aerospace Center	NEC	Germany	174,592	3,458.30	5,586.94	5,638,464	AMD EPYC 7702 64C 2GHz	Rocky Linux 8.4	Linux	None	64	AMD Rome	Europe
164	davinci-1	BullSequana X, AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband	Leonardo SpA	Atos	Italy	38,400	3,449.00	6,412.03	1,290,240	AMD EPYC 7402 24C 2.8GHz	Linux	Linux	NVIDIA A100	24	AMD Rome	Europe
165	Tenaya	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	DOE/NNSA/LLNL	HPE	United States	22,656	3,411.16	4,369.15		AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Milan	North America
166	Cedar (GPU)	PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path	Simon Fraser University/Compute Canada	ACTION	Canada	67,584	3,371.00	5,834.40	1,780,800	Xeon Silver 4216 16C 2.1GHz	CentOS	Linux	NVIDIA Tesla V100	16	Xeon Silver	North America
