Rank	Name	Computer	Site	Manufacturer	Country	Total Cores	Rmax [TFlop/s]	Rpeak [TFlop/s]	Nmax	Processor	Operating System	OS Family	Accelerator/Co-Processor	Cores per Socket	Processor Generation	Continent
210	Joule 2.0	HP ProLiant XL170r/XL190r/DL360 Gen10, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100	DOE/National Energy Technology Laboratory	HPE	United States	86,400	3,608.62	5,750.78	4,049,664	Xeon Gold 6148 20C 2.4GHz	Linux	Linux	NVIDIA Tesla P100	20	Xeon Gold (Skylake)	North America
211	Snellius Phase 1 GPU	ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR	SURF	Lenovo	Netherlands	12,960	3,603.00	6,014.13	1,193,472	Xeon Platinum 8360Y 36C 2.4GHz	CentOS Linux 8.4	Linux	NVIDIA A100 SXM4 40 GB	36	Xeon Platinum 83xx (Ice Lake)	Europe
212	Niagara	ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100	SciNet/University of Toronto/Compute Canada	Lenovo	Canada	80,640	3,599.66	6,253.06	3,276,672	Xeon Gold 6148 20C 2.4GHz	CentOS	Linux	None	20	Xeon Gold (Skylake)	North America
213	Fritz	Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100	Universitaet Erlangen - Regionales Rechenzentrum Erlangen	MEGWARE	Germany	71,424	3,578.03	5,452.18	4,543,488	Xeon Platinum 8360Y 36C 2.4GHz	AlmaLinux 8.5	Linux	None	36	Xeon Platinum 83xx (Ice Lake)	Europe
214		Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40	Government	HPE	United States	72,800	3,577.00	6,131.84	2,336,000	Xeon E5-2660v2 10C 2.2GHz	Linux	Linux	NVIDIA Tesla K40	10	Intel Xeon E5 (IvyBridge)	North America
215		Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40	Government	HPE	United States	72,800	3,577.00	6,131.84	2,336,000	Xeon E5-2660v2 10C 2.2GHz	Linux	Linux	NVIDIA Tesla K40	10	Intel Xeon E5 (IvyBridge)	North America
216	Anvil	PowerEdge 6525, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR 100	Purdue University	DELL EMC	United States	127,488	3,563.10	4,997.53	5,492,025	AMD EPYC 7763 64C 2.45GHz	Rocky Linux 8.4	Linux	None	64	AMD Zen-3 (Milan)	North America
217	NOBZ1	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom	Software Company MBZ	Lenovo	Brazil	80,640	3,545.65	6,967.30	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	South America
218	AIC1	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom	Software Company MIR	Lenovo	Ireland	80,640	3,545.65	6,967.30	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	Europe
219	B1A	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	80,640	3,545.65	6,967.30	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	North America
220	Geely Wise Star-Dubhe	Lenovo ThinkSystem SD650 V3, Xeon Gold 6458Q 32C 3.1GHz, Infiniband HDR	Geely Auto Group	Lenovo	China	40,960	3,536.02	4,063.23	5,724,200	Xeon Gold 6458Q 32C 3.1GHz	Linux	Linux	None	32	Xeon Gold (Sapphire Rapids)	Asia
221	Altair	CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR	PCSS Poznan	Huawei	Poland	63,360	3,533.61	5,879.81	5,216,256	Xeon Platinum 8268 24C 2.9GHz	CentOS	Linux	None	24	Xeon Platinum 82xx (Cascade Lake)	Europe
222	Forerunner 1	ASUS RS723Q-E11-RS24, Xeon Platinum 8480+ 56C 2GHz, Infiniband NDR200	National Center for High Performance Computing	ASUSTeK / ASUS Cloud / Taiwan Web Service Corporation	Taiwan	62,496	3,532.92	3,999.74	6,192,371	Xeon Platinum 8480+ 56C 2GHz	RHEL	Linux	None	56	Xeon Platinum (Sapphire Rapids)	Asia
223	ATOS THX.A.B	BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 64 GB, Quad-rail NVIDIA HDR100 Infiniband	Atos	EVIDEN	France	25,056	3,505.00	4,982.17	1,370,880	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	NVIDIA A100 SXM4 64 GB	32	Xeon Platinum 83xx (Ice Lake)	Europe
224	Unizah-II	Cray CS500, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet	Saudi Aramco	HPE	Saudi Arabia	85,560	3,487.91	6,844.80	9,471,744	Xeon Gold 6248 20C 2.5GHz	RHEL 7.7	Linux	None	20	Xeon Gold 62xx (Cascade Lake)	Asia
225	Ohtaka	PowerEdge C6525, AMD EPYC 7702 64C 2GHz, Mellanox HDR Infiniband	The Institute for Solid State Physics, The University of Tokyo	DELL EMC	Japan	215,040	3,486.10	6,881.28	5,811,840	AMD EPYC 7702 64C 2GHz	Red Hat Enterprise Linux	Linux	None	64	AMD Zen-2 (Rome)	Asia
226	Pegasus	NEC LX 102Bk-6, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR 200	Center for Computational Sciences, University of Tsukuba	NEC	Japan	21,600	3,478.00	6,507.07	1,071,360	Xeon Platinum 8468 48C 2.1GHz	Ubuntu 20.04	Linux	NVIDIA H100 SXM5 80 GB	48	Xeon Platinum (Sapphire Rapids)	Asia
227	BA1A	ThinkSystem HR650X, Intel Xeon Gold 8350C 32C 2.6GHz, 25G Ethernet	Service Provider B	Lenovo	China	81,920	3,476.28	6,815.74	5,724,288	Intel Xeon Gold 8350C 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 82xx (Cascade Lake)	Asia
228	CARO	NEC HPC2808Ri-2, AMD EPYC 7702 64C 2GHz, InfiniBand HDR100	German Aerospace Center	NEC	Germany	174,592	3,458.30	5,586.94	5,638,464	AMD EPYC 7702 64C 2GHz	Rocky Linux 8.4	Linux	None	64	AMD Zen-2 (Rome)	Europe
229	davinci-1	BullSequana X, AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband	Leonardo SpA	EVIDEN	Italy	38,400	3,449.00	6,412.03	1,290,240	AMD EPYC 7402 24C 2.8GHz	Linux	Linux	NVIDIA A100	24	AMD Zen-2 (Rome)	Europe
230	Tenaya	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	DOE/NNSA/LLNL	HPE	United States	22,656	3,411.16	4,369.15		AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Zen-3 (Milan)	North America
231	Cedar (GPU)	PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path	Simon Fraser University/Compute Canada	ACTION	Canada	67,584	3,371.00	5,834.40	1,780,800	Xeon Silver 4216 16C 2.1GHz	CentOS	Linux	NVIDIA Tesla V100	16	Xeon Silver (Skylake)	North America
232	Molecular Simulator	Apollo 2000 Gen10 Plus, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, InfiniBand HDR 100	Institute for Molecular Science	HPE	Japan	106,496	3,340.29	4,174.64	4,785,024	AMD EPYC 7763 64C 2.45GHz	Rocky Linux 8.7	Linux	None	64	AMD Zen-3 (Milan)	Asia
233	ASPIRE 2A (GPU Partition)	HPE Cray EX235n, Apollo 6500, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10	National Supercomputing Centre Singapore	HPE	Singapore	43,648	3,328.00	6,483.88	1,263,744	AMD EPYC 7713 64C 2GHz	RHEL 8.3	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Zen-3 (Milan)	Asia
234	NA4	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	85,248	3,320.05	7,092.63	9,463,000	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
235	NA4A	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	85,248	3,320.05	7,092.63	9,463,000	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
236	Topaz	SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR	ERDC DSRC	HPE	United States	124,200	3,318.95	4,570.56	5,779,200	Xeon E5-2699v3 18C 2.3GHz	SUSE Linux Enterprise Server 11	Linux	None	18	Intel Xeon E5 (Haswell)	North America
237		NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100	Facebook	Self-made	United States	60,512	3,307.00	4,896.51	1,419,545	Xeon E5-2698v4 20C 2.2GHz	Ubuntu	Linux	NVIDIA Tesla P100	20	Intel Xeon E5 (Broadwell)	North America
238	Topaze-cpu	BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100	Commissariat a l'Energie Atomique (CEA)/CCRT	EVIDEN	France	110,592	3,261.02	4,335.21	3,709,440	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	Europe
239	Damson	Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR	AWE	EVIDEN	United Kingdom	113,832	3,243.41	3,791.58	5,543,424	Xeon E5-2697v4 18C 2.3GHz	bullx SCS	Linux	None	18	Intel Xeon E5 (Broadwell)	Europe
240	LLNL/NNSA CTS-1 MAGMA	Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path	Lawrence Livermore National Laboratory	Penguin Computing	United States	62,400	3,241.24	4,592.64	5,177,088	Intel Xeon Platinum 9242 48C 2.3GHz	Linux/TOSS	Linux	None	48	Xeon Platinum 92xx (Cascade Lake)	North America
241	Mustang	HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path	Air Force Research Laboratory	HPE	United States	55,296	3,221.40	4,777.57	4,866,048	Xeon Platinum 8168 24C 2.7GHz	Red Hat Enterprise Linux	Linux	None	24	Xeon Platinum (Skylake)	North America
242	Big Red 200, GPU Partition	HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100, Slingshot-10	Indiana University	HPE	United States	31,744	3,194.00	4,006.14	1,124,352	AMD EPYC 7713 64C 2GHz	SLES15 SP2	Linux	NVIDIA A100	64	AMD Zen-3 (Milan)	North America
243	HPC2	iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x	Eni S.p.A.	IBM	Italy	72,000	3,188.00	4,605.00	3,978,240	Intel Xeon E5-2680v2  10C 2.8GHz	Linux	Linux	NVIDIA Tesla K20x	10	Intel Xeon E5 (IvyBridge)	Europe
244	Dream-AI	INSPUR NF5688M6, Intel Xeon Gold 6330 28C 2GHz, NVIDIA A100 SXM4 40 GB, Mellanox HDR Infiniband	GIST SCENT	Inspur	South Korea	36,960	3,179.00	6,418.18	1,271,000	Xeon Platinum 8358 32C 2.6GHz	Ubuntu 20.04.1 LTS	Linux	NVIDIA A100 SXM4 40 GB	32	Xeon Platinum 83xx (Ice Lake)	Asia
245	Fênix	Bull 4029GP-TVRT, Xeon Gold 5122 4C 3.6GHz, NVIDIA Tesla V100, Infiniband EDR	Petróleo Brasileiro S.A	EVIDEN	Brazil	60,480	3,161.00	5,371.78	1,677,312	Xeon Gold 5122 4C 3.6GHz	CentOS	Linux	NVIDIA Tesla V100	4	Xeon Gold (Skylake)	South America
246	Toubkal	PowerEdge C6420, CRC-StackHPC, Xeon Platinum 8276L 28C 2.2GHz, Mellanox InfiniBand HDR100	Mohammed VI Polytechnic University - African Supercomputing Centre	DELL EMC	Morocco	71,232	3,158.11	5,014.73	4,475,520	Xeon Platinum 8276L 28C 2.2GHz	CentOS Scientific-OpenStack	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	Africa
247		ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	71,680	3,151.69	6,193.15	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	North America
248	B5A	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	71,680	3,151.69	6,193.15	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	North America
249	AID1	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom	Software Company MIR	Lenovo	Ireland	71,680	3,151.68	6,193.15	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	Europe
250	NOJP1	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom	Software Company MJP	Lenovo	Japan	71,680	3,151.68	6,193.15	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	Asia
251	NONY1	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom	Software Company MNY	Lenovo	Norway	71,680	3,151.68	6,193.15	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	Europe
252	NO6	ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom	Software Company MUS	Lenovo	United States	71,680	3,151.68	6,193.15	4,293,120	Xeon Platinum 8280 28C 2.7GHz	Linux	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	North America
253	Lichtenberg II (Phase 1)	MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100	Technische Universitaet Darmstadt	MEGWARE	Germany	59,136	3,148.38	4,352.41	5,102,208	Intel Xeon Platinum 9242 48C 2.3GHz	CentOS	Linux	None	48	Xeon Platinum 92xx (Cascade Lake)	Europe
254		Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect 	Government	HPE	United States	225,984	3,143.52	4,881.25	2,541,684	Intel Xeon E5-2697v2 12C 2.7GHz	Cray Linux Environment 	Linux	None	12	Intel Xeon E5 (IvyBridge)	North America
255	B2G	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MNED	Lenovo	Netherlands	92,160	3,131.25	6,193.15	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	Europe
256	A1C	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MSG	Lenovo	Singapore	92,160	3,131.25	6,193.15	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	Asia
257	A5A	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	92,160	3,131.25	6,193.15	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	North America
258	A1A	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	92,160	3,131.25	6,193.15	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	North America
259	A1A	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	92,160	3,131.25	6,193.15	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	North America
260	NO4	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	92,160	3,131.25	6,193.15	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	North America
261	NA8B	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	84,096	3,127.57	6,996.79	9,454,800	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
262	NA8A	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	84,096	3,127.57	6,996.79	9,454,800	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
263	NA8	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	84,096	3,127.57	6,996.79	9,454,800	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
264	NA8	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	84,096	3,127.57	6,996.79	9,454,800	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
265	Thunder	SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P	Air Force Research Laboratory	HPE	United States	152,692	3,126.24	5,610.48	5,572,800	Xeon E5-2699v3 18C 2.3GHz	SUSE Linux Enterprise Server 11	Linux	NVIDIA Tesla K40/Intel Xeon Phi 7120P	18	Intel Xeon E5 (Haswell)	North America
266	Komondor	HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11	Governmental Information-Technology Development Agency (KIFÜ)	HPE	Hungary	27,776	3,105.00	4,508.49	1,064,448	AMD EPYC 7763 64C 2.45GHz	RHEL	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Zen-3 (Milan)	Europe
267	Lichtenberg II (Phase 2)	ThinkSystem SD650 V3, Xeon Platinum 8470Q 52C 2.1GHz, InfiniBand HDR100	Technische Universitaet Darmstadt	Lenovo	Germany	59,904	3,098.52	4,025.55		Xeon Platinum 8470Q 52C 2.1GHz	RHEL 8.6	Linux	None	52	Xeon Platinum (Sapphire Rapids)	Europe
268	VEGA HPC GPU	BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, NVIDIA A100, Infiniband HDR	IZUM	EVIDEN	Slovenia	33,600	3,096.00	4,680.00	1,152,000	AMD EPYC 7H12 64C 2.6GHz	Linux	Linux	NVIDIA A100	64	AMD Zen-2 (Rome)	Europe
269		Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet	Service Provider T	Lenovo	China	76,000	3,088.64	6,080.00	6,039,936	Xeon Gold 6133 20C 2.5GHz	Linux	Linux	None	20	Xeon Gold (Skylake)	Asia
270	Alps	HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10	Swiss National Supercomputing Centre (CSCS)	HPE	Switzerland	128,000	3,088.60	4,608.00	5,108,800	AMD EPYC 7742 64C 2.25GHz	HPE Cray OS	Linux	None	64	AMD Zen-2 (Rome)	Europe
271	Numerical Materials Simulator	HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Dual-rail Intel Omni-Path	National Institute for Materials Science	HPE	Japan	53,568	3,082.12	4,971.11	3,805,824	Xeon Platinum 8268 24C 2.9GHz	CentOS	Linux	None	24	Xeon Platinum 82xx (Cascade Lake)	Asia
272	Hera	Cray CS500, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR	NOAA Environmental Security Computer Center	HPE	United States	63,840	3,080.85	4,884.48	4,012,032	Xeon Gold 6148 20C 2.4GHz	CentOS	Linux	None	20	Xeon Gold (Skylake)	North America
273	Camphor 2	Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect 	Academic Center for Computing and Media Studies (ACCMS),  Kyoto University	HPE	Japan	122,400	3,057.35	5,483.52	4,579,680	Intel Xeon Phi 7250 68C 1.4GHz	Cray Linux Environment 	Linux	None	68	Intel Xeon Phi	Asia
274	Jean Zay	HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path	CNRS/IDRIS-GENCI	HPE	France	61,120	3,054.35	4,867.20	5,598,720	Xeon Gold 6248 20C 2.5GHz	RHEL 7.6	Linux	None	20	Xeon Gold 62xx (Cascade Lake)	Europe
275	Barnard	EVIDEN BullSequana X2140, Xeon Platinum 8470 52C 2GHz, Mellanox HDR Infiniband	TU Dresden, ZIH	EVIDEN	Germany	65,520	3,047.36	4,046.85	5,387,520	Xeon Platinum 8470 52C 2GHz	RedHat Enterprise Linux	Linux	None	52	Xeon Platinum (Sapphire Rapids)	Europe
276	Palmetto2	PowerEdge R740/R740xd/R750, Xeon 8358/6148/6248/6238R/6258R, NVIDIA Tesla A100 80G/40G, InfiniBand HDR100	Clemson University	DELL EMC	United States	52,080	3,011.00	4,580.12	1,275,552	Xeon Gold 6148 20C 2.4GHz	Rocky Linux 8.6	Linux	NVIDIA Tesla V100	20	Xeon Gold (Skylake)	North America
277	Mistral	bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR	DKRZ - Deutsches Klimarechenzentrum	EVIDEN	Germany	99,072	3,010.68	3,962.88	4,437,696	Xeon E5-2680v3 12C 2.5GHz	Bullx Linux	Linux	None	12	Intel Xeon E5 (Haswell)	Europe
278	NO3	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	88,320	3,000.78	5,935.10	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	North America
279		Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet	Service Provider T	Lenovo	China	73,600	2,994.04	5,888.00	5,943,552	Xeon Gold 6133 20C 2.5GHz	Linux	Linux	None	20	Xeon Gold (Skylake)	Asia
280	HHH1	ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet	Service Provider T	Lenovo	China	80,640	2,975.29	6,451.20	5,679,360	Xeon Gold 6233 24C 2.5GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	Asia
281	III1	ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet	Service Provider T	Lenovo	China	79,680	2,975.08	6,374.40	5,645,568	Xeon Gold 6233 24C 2.5GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	Asia
282	Tetralith	Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path	National Supercomputer Centre (NSC)	ClusterVision / Hammer	Sweden	64,512	2,969.19	4,335.21	4,160,256	Xeon Gold 6130 16C 2.1GHz	CentOS	Linux	None	16	Xeon Gold (Skylake)	Europe
283		NEC HPC 124Rj-1, Xeon Platinum 8358 32C 2.6GHz, Intel Omni-Path	Volkswagen AG at Green Mountain A/S	NEC	Norway	53,568	2,955.00	4,456.86	4,499,712	Xeon Platinum 8358 32C 2.6GHz	RedHat Enterprise Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	Europe
284	JJJ1	ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet	Service Provider T	Lenovo	China	78,720	2,933.42	6,297.60	5,611,392	Xeon Gold 6233 24C 2.5GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	Asia
285		Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet	Service Provider T	Lenovo	China	72,000	2,931.84	5,760.00	5,878,656	Xeon Gold 6133 20C 2.5GHz	Linux	Linux	None	20	Xeon Gold (Skylake)	Asia
286	A9A	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	86,016	2,922.50	5,780.28	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	North America
287	A6A	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	86,016	2,922.50	5,780.28	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	North America
288	Jean	Liqid Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Infiniband HDR	Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC)	Liqid	United States	55,296	2,917.56	4,069.79	3,852,672	Intel Xeon Platinum 9242 48C 2.3GHz	CentOS	Linux	None	48	Xeon Platinum 92xx (Cascade Lake)	North America
289	KKK1	ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet	Service Provider T	Lenovo	China	77,760	2,910.09	6,220.80	5,577,216	Xeon Gold 6233 24C 2.5GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	Asia
290		Inspur TS10000 HPC Server, Xeon Gold 6248R 24C 3GHz, InfiniBand HDR 100	Central South University	Inspur	China	49,056	2,889.41	4,709.38	4,680,192	Xeon Gold 6248R 24C 3GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	Asia
291	Helios CPU	HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11	Cyfronet	HPE	Poland	75,264	2,889.30	3,395.91	3,191,130	AMD EPYC 9654 96C 2.4GHz	HPE Cray OS	Linux	None	96	AMD Zen-4 (Genoa)	Europe
292	LLL1	ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet	Service Provider T	Lenovo	China	76,800	2,882.76	6,144.00	5,542,656	Xeon Gold 6233 24C 2.5GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	Asia
293	Henri	ThinkSystem SR670 V2, Intel Xeon Platinum 8362 32C 2.8GHz, NVIDIA H100 80GB PCIe, Infiniband HDR	Flatiron Institute	Lenovo	United States	8,288	2,882.00	3,579.13	1,032,192	Intel Xeon Platinum 8362 32C 2.8GHz	Linux	Linux	NVIDIA H100	32	Xeon Platinum 83xx (Ice Lake)	North America
294		ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet	Service Provider K	Lenovo	China	93,600	2,873.41	6,289.92	5,878,656	Xeon Gold 6230R 26C 2.1GHz	Linux	Linux	None	26	Xeon Gold 62xx (Cascade Lake)	Asia
295	A8A	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	84,480	2,870.31	5,677.06	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	North America
296	A8A	ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet	Software Company MUS	Lenovo	United States	84,480	2,870.31	5,677.06	4,957,440	Xeon Gold 6252 24C 2.1GHz	Linux	Linux	None	24	Xeon Gold 62xx (Cascade Lake)	North America
