Rank	Name	Computer	Site	Manufacturer	Country	Total Cores	Rmax [TFlop/s]	Rpeak [TFlop/s]	Nmax	Processor	Operating System	OS Family	Accelerator/Co-Processor	Cores per Socket	Processor Generation	Continent
75	Cactus	HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10	GDIT/NOAA/WCOSS	HPE	United States	327,680	10,013.00	11,796.48	8,413,184	AMD EPYC 7742 64C 2.25GHz	HPE Cray OS	Linux	None	64	AMD Zen-2 (Rome)	North America
76	Dogwood	HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10	GDIT/NOAA/WCOSS	HPE	United States	327,680	10,013.00	11,796.48	8,413,184	AMD EPYC 7742 64C 2.25GHz	HPE Cray OS	Linux	None	64	AMD Zen-2 (Rome)	North America
77	Earth Simulator -SX-Aurora TSUBASA	SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200	Japan Agency for Marine-Earth Science and Technology	NEC	Japan	43,776	9,990.70	13,447.99	5,571,072	Vector Engine Type20B 8C 1.6GHz	VEOS	Linux	None	8	Vector Engine	Asia
78	Amazon EC2 Instance Cluster us-east-1a	Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet	Descartes Labs	Amazon Web Services	United States	172,692	9,950.26	15,106.52	7,864,320	Xeon Platinum 8124M 18C 3GHz	Amazon Linux 2	Linux	None	18	Xeon Platinum (Skylake)	North America
79	NVIDIA Cambridge-1 DGX SuperPOD	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR	NVIDIA Corporation	Nvidia	United States	79,360	9,682.00	12,047.00	2,515,968	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.1 LTS	Linux	NVIDIA Tesla A100 80G	64	AMD Zen-2 (Rome)	North America
80		Apollo 6500, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband	Research Institute	HPE	Japan	72,384	9,459.00	9,669.30	2,505,216	AMD  EPYC 7543 32C 2.8GHz	RHEL 8.4	Linux	NVIDIA A100 SXM4 80 GB	32	AMD Zen-3 (Milan)	Asia
81	DGX SuperPOD	NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR	NVIDIA Corporation	Nvidia	United States	127,488	9,444.00	11,209.11	2,519,232	Xeon Platinum 8174 24C 3.1GHz	Ubuntu 18.04.01	Linux	NVIDIA Tesla V100	24	Xeon Platinum (Skylake)	North America
82	JURECA Data Centric Module	BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite	Forschungszentrum Juelich (FZJ)	EVIDEN	Germany	105,840	9,330.00	14,508.00	1,928,448	AMD EPYC 7742 64C 2.25GHz	CentOS	Linux	NVIDIA Tesla A100 40G	64	AMD Zen-2 (Rome)	Europe
83	Gadi	PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband	National Computational Infrastructure (NCI Australia)	Fujitsu / Lenovo	Australia	204,032	9,264.31	15,142.20	7,150,464	Xeon Platinum 8274 24C 3.2GHz	CentOS	Linux	NVIDIA Tesla V100 SXM2	24	Xeon Platinum 82xx (Cascade Lake)	Oceania
84	Goethe-NHR	Supermicro AS-4124GS-TNR, AMD EPYC 7452 32C 2.35GHz, AMD Instinct MI210 64 GB, Mellanox InfiniBand EDR	Universitaet Frankfurt	MEGWARE / Supermicro	Germany	96,768	9,087.00	19,344.19	2,620,800	AMD EPYC 7452 32C 2.35GHz	Linux	Linux	AMD Instinct MI210 64 GB	32	AMD Zen-2 (Rome)	Europe
85	Aitken	HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband	NASA/Ames Research Center/NAS	HPE	United States	293,936	9,070.00	12,493.06	8,229,600	AMD EPYC 7742 64C 2.25GHz	Tri-Lab Operating System 	Linux	None	64	AMD Zen-2 (Rome)	North America
